66,349,12
310,440,12
345,379,12
340,360,12
453,478,12
510,233,12
708,422,12
177,336,12
119,59,12
812,291,12
808,219,12
879,402,12
111,410,12
493,41,12
789,434,12
973,100,12
886,179,12
101,432,12
413,375,12
120,37,12
529,349,12
317,541,12
312,511,12
804,468,12
877,481,12
649,257,12
252,545,12
810,350,12
643,501,12
442,338,12
841,486,12
495,451,12
568,267,12
539,235,12
109,194,12
591,394,12
458,27,12
116,236,12
384,398,12
364,179,12
1021,205,12
877,325,12
142,510,12
990,264,12
200,454,12
205,74,12
715,463,12
373,194,12
1000,142,12
59,154,12
208,155,12
268,383,12
737,147,12
362,10,12
867,579,12
360,597,12
729,110,12
671,408,12
626,392,12
404,106,12
43,178,12
659,2,12
246,145,12
563,597,12
961,294,12
967,493,12
488,253,12
655,383,12
676,463,12
343,316,12
