833,515,11
90,141,11
615,434,11
563,455,11
451,346,11
393,414,11
788,216,11
891,32,11
813,517,11
804,5,11
678,561,11
168,454,11
468,256,11
327,555,11
643,396,11
186,106,11
216,280,11
488,522,11
49,59,11
160,431,11
780,558,11
880,147,11
816,383,11
336,411,11
420,544,11
350,413,11
15,106,11
767,121,11
773,498,11
918,218,11
1008,482,11
741,302,11
61,346,11
773,141,11
488,499,11
531,575,11
549,256,11
560,498,11
992,306,11
530,60,11
929,339,11
778,18,11
844,416,11
33,523,11
149,117,11
279,474,11
670,4,11
924,272,11
207,568,11
827,456,11
646,91,11
713,371,11
956,597,11
363,515,11
589,4,11
915,63,11
385,562,11
122,195,11
66,596,11
524,187,11
