989,201,12
441,554,12
884,267,12
186,4,12
246,192,12
330,265,12
949,183,12
670,106,12
952,558,12
354,423,12
19,366,12
147,150,12
387,205,12
351,484,12
125,326,12
856,119,12
311,169,12
468,525,12
915,92,12
969,515,12
511,118,12
760,146,12
646,404,12
726,193,12
697,132,12
822,30,12
258,154,12
862,365,12
202,580,12
337,366,12
39,120,12
591,287,12
256,234,12
28,462,12
215,494,12
674,426,12
859,421,12
72,414,12
793,79,12
81,528,12
315,40,12
905,594,12
544,591,12
674,293,12
607,66,12
141,519,12
665,357,12
766,596,12
659,86,12
1019,566,12
432,126,12
833,446,12
787,533,12
265,394,12
240,287,12
433,246,12
651,38,12
971,232,12
535,529,12
580,198,12
493,465,12
817,487,12
671,30,12
742,564,12
363,127,12
257,98,12
958,166,12
834,272,12
202,218,12
291,323,12
370,318,12
299,18,12
133,311,12
895,416,12
543,43,12
432,382,12
148,439,12
1017,53,12
400,102,12
205,294,12
