568,417,5
857,579,5
605,300,5
836,328,5
705,586,5
197,566,5
569,531,5
215,315,5
650,82,5
660,530,5
592,522,5
625,322,5
9,1,5
159,212,5
121,218,5
1006,554,5
26,270,5
649,242,5
405,507,5
353,229,5
793,243,5
415,458,5
42,379,5
885,331,5
388,324,5
179,402,5
82,541,5
352,184,5
749,44,5
927,225,5
542,214,5
345,505,5
325,33,5
362,103,5
602,113,5
337,229,5
636,457,5
266,590,5
760,352,5
846,221,5
774,34,5
299,421,5
960,401,5
884,410,5
742,591,5
905,338,5
947,387,5
843,350,5
871,563,5
632,554,5
316,498,5
478,271,5
605,50,5
672,251,5
716,248,5
510,21,5
37,200,5
16,14,5
52,591,5
719,194,5
749,175,5
201,397,5
935,277,5
701,382,5
574,569,5
193,284,5
1015,69,5
157,195,5
511,149,5
500,166,5
931,487,5
794,6,5
409,364,5
64,234,5
223,63,5
618,539,5
615,103,5
350,582,5
70,37,5
426,114,5
283,89,5
397,344,5
359,532,5
443,531,5
890,165,5
554,358,5
430,202,5
877,487,5
645,474,5
883,451,5
